dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params
mnist_rot,equivariant,normbn_relu,Normbn,False,4,0.97786,5.0,1173991
mnist_rot,equivariant,normbn_relu,Normbn,True,0,0.98214,5.28,1173991
mnist_rot,equivariant,normbn_relu,Normbn,True,1,0.98148,5.02,1173991
mnist_rot,equivariant,normbn_relu,Normbn,True,2,0.98156,5.22,1173991
mnist_rot,equivariant,normbn_relu,Normbn,True,3,0.98066,5.0,1173991
mnist_rot,equivariant,normbn_relu,Normbn,True,4,0.98214,5.43,1173991
mnist_rot,equivariant,normbn_sigmoid,Normbn,False,0,0.97028,5.33,1173991
mnist_rot,equivariant,normbn_sigmoid,Normbn,False,1,0.97256,5.08,1173991
mnist_rot,equivariant,normbn_sigmoid,Normbn,False,2,0.96906,5.62,1173991
mnist_rot,equivariant,normbn_sigmoid,Normbn,False,3,0.97034,5.02,1173991
